Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years
How much do you agree with these statements about science? Science makes me confused,ASBS10F,ASBLS10F,SQMS-10f,SQMS-10f,Student,,✓,✓,✓
How often does your teacher give you homework in the following subjects? Mathematics,,ASBLM11A,,SQMS-11a,Student,,,✓,
How often does your teacher give you homework in the following subjects? Science,,ASBLS11B,,SQMS-11b,Student,,,✓,
"When your teacher gives you home in the following subjects, about how much time do you usually spend on your homework? Mathematics",,ASBLM12A,,SQMS-12a,Student,,,✓,
"When your teacher gives you home in the following subjects, about how much time do you usually spend on your homework? Science",,ASBLS12B,,SQMS-12b,Student,,,✓,
"By the end of this school year, how many years will you have been teaching altogether?",ATBG01,ATBLG01,TQG-01,TQG-01,Teacher,,✓,✓,✓
Which of these describes you?,ATBG02,ATBLG02,TQG-02,TQG-02,Teacher,,✓,✓,✓
How old are you?,ATBG03,ATBLG03,TQG-03,TQG-03,Teacher,,✓,✓,✓
What is the highest level of formal education you have completed?,ATBG04,ATBLG04,TQG-04,TQG-04,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study?
Education—Primary/Elementary",ATBG05AA,ATBLG05AA,TQG-05Aa,TQG-05Aa,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study? Education—Secondary",ATBG05AB,ATBLG05AB,TQG-05Ab,TQG-05Ab,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study? Mathematics",ATBG05AC,ATBLG05AC,TQG-05Ac,TQG-05Ac,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study? Science",ATBG05AD,ATBLG05AD,TQG-05Ad,TQG-05Ad,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study? <language of test>",ATBG05AE,ATBLG05AE,TQG-05Ae,TQG-05Ae,Teacher,,✓,✓,✓
"During your <post-secondary> education, what was your major or main area(s) of study? Other",ATBG05AF,ATBLG05AF,TQG-05Af,TQG-05Af,Teacher,,✓,✓,✓
"If your major or main area of study was education, did you have a <specialization> in any of the following? Mathematics",ATBG05BA,ATBLG05BA,TQG-05Ba,TQG-05Ba,Teacher,,✓,✓,✓
"If your major or main area of study was education, did you have a <specialization> in any of the following? Science",ATBG05BB,ATBLG05BB,TQG-05Bb,TQG-05Bb,Teacher,,✓,✓,✓
"If your major or main area of study was education, did you have a <specialization> in any of the following? Language/reading",ATBG05BC,ATBLG05BC,TQG-05Bc,TQG-05Bc,Teacher,,✓,✓,✓
"If your major or main area of study was education, did you have a <specialization> in any of the following? Other subject",ATBG05BD,ATBLG05BD,TQG-05Bd,TQG-05Bd,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' understanding of the school's curricular goals,ATBG06A,ATBLG06A,TQG-06a,TQG-06a,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' degree of success in implementing the school's curriculum,ATBG06B,ATBLG06B,TQG-06b,TQG-06b,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' expectations for student achievement,ATBG06C,ATBLG06C,TQG-06c,TQG-06c,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' ability to inspire students,ATBG06D,ATBLG06D,TQG-06d,TQG-06d,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Parental involvement in school activities,ATBG06E,ATBLG06E,TQG-06e,TQG-06e,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Parental commitment to ensure that students are ready to learn,ATBG06F,ATBLG06F,TQG-06f,TQG-06f,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Parental expectations for student achievement,ATBG06G,ATBLG06G,TQG-06g,TQG-06g,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Parental support for student achievement,ATBG06H,ATBLG06H,TQG-06h,TQG-06h,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Students' desire to do well in school,ATBG06I,ATBLG06I,TQG-06i,TQG-06i,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Students' ability to reach school's academic goals,ATBG06J,ATBLG06J,TQG-06j,TQG-06j,Teacher,,✓,✓,✓
How would you characterize each of the following within your school? Students' respect for classmates who excel academically,ATBG06K,ATBLG06K,TQG-06k,TQG-06k,Teacher,,✓,✓,✓
How much do you agree or disagree with the following statements about your current school? I feel safe at this school,ATBG07A,,TQG-07a,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school? This school's security policies and practices are sufficient,ATBG07B,,TQG-07b,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school?  The students behave in an orderly manner,ATBG07C,,TQG-07c,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school? The students are respectful of the teachers,ATBG07D,,TQG-07d,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school? The students respect school property,ATBG07E,,TQG-07e,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school?  This school has clear rules about student conduct,ATBG07F,,TQG-07f,,Teacher,,✓,,
How much do you agree or disagree with the following statements about your current school? This school's rules are enforced in a fair and consistent manner,ATBG07G,,TQG-07g,,Teacher,,✓,,
How often do you have these feelings about being a teacher? I am content with my profession as a teacher,ATBG08A,ATBLG07A,TQG-08a,TQG-07a,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? I find my work full of meaning and purpose,ATBG08B,ATBLG07B,TQG-08b,TQG-07b,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? I am enthusiastic about my job,ATBG08C,ATBLG07C,TQG-08c,TQG-07c,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? My work inspires me,ATBG08D,ATBLG07D,TQG-08d,TQG-07d,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? I am proud of the work I do,ATBG08E,ATBLG07E,TQG-08e,TQG-07e,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? I feel appreciated as a teacher,ATBG08F,ATBLG07F,TQG-08f,TQG-07f,Teacher,,✓,✓,✓
How often do you have these feelings about being a teacher? I enjoy the challenges of teaching,ATBG08G,ATBLG07G,TQG-08g,TQG-07g,Teacher,,✓,✓,✓
How much do you agree or disagree with the statements below? There are too many students in the classes,ATBG09A,,TQG-09a,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I have too much material to cover in class,ATBG09B,,TQG-09b,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I have too many teaching hours,ATBG09C,,TQG-09c,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I need more time to prepare for class,ATBG09D,,TQG-09d,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I need more time to assist individual students,ATBG09E,,TQG-09e,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I feel too much pressure from parents,ATBG09F,,TQG-09f,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I have difficulty keeping up with all of the changes to the curriculum,ATBG09G,,TQG-09g,,Teacher,,✓,,
How much do you agree or disagree with the statements below? I have too many administrative tasks,ATBG09H,,TQG-09h,,Teacher,,✓,,
How many students are in this class?,ATBG10A,ATBLG08A,TQG-10A,TQG-08A,Teacher,,✓,✓,✓
How many of the students in #G10A are in <fourth grade>?,ATBG10B,ATBLG08B,TQG-10B,TQG-08B,Teacher,,✓,✓,✓
"How many <fourth grade> students experience difficulties understanding spoken <language of test>? 
",ATBG11,ATBLG09,TQG-11,TQG-09,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Relate the lesson to students' daily lives,ATBG12A,ATBLG10A,TQG-12a,TQG-10a,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Ask students to explain their answers,ATBG12B,ATBLG10B,TQG-12b,TQG-10b,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Communicate goals or objectives for the lesson to the students,ATBG12C,ATBLG10C,TQG-12c,TQG-10c,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Ask students to complete challenging exercises that require them to go beyond the instruction,ATBG12D,ATBLG10D,TQG-12d,TQG-10d,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Encourage classroom discussions among students,ATBG12E,ATBLG10E,TQG-12e,TQG-10e,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Link new content to students' prior knowledge,ATBG12F,ATBLG10F,TQG-12f,TQG-10f,Teacher,,✓,✓,✓
How often do you do the following in teaching this class? Ask students to decide their own problem solving procedures,ATBG12G,ATBLG10G,TQG-12g,TQG-10g,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students lacking prerequisite knowledge or skills",ATBG13A,ATBLG11A,TQG-13a,TQG-11a,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students suffering from lack of basic nutrition",ATBG13B,ATBLG11B,TQG-13b,TQG-11b,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students suffering from not enough sleep",ATBG13C,ATBLG11C,TQG-13c,TQG-11c,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students absent from class",ATBG13D,ATBLG11D,TQG-13d,TQG-11d,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Disruptive students",ATBG13E,ATBLG11E,TQG-13e,TQG-11e,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Uninterested students",ATBG13F,ATBLG11F,TQG-13f,TQG-11f,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Distracted students",ATBG13G,ATBLG11G,TQG-13g,TQG-11g,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students with mental, emotional, or psychological impairment",ATBG13H,ATBLG11H,TQG-13h,TQG-11h,Teacher,,✓,✓,✓
"In your view, to what extent do the following limit how you teach this class? Students with difficulties understanding the language of instruction",ATBG13I,ATBLG11I,TQG-13i,TQG-11i,Teacher,,✓,✓,✓
"In a typical week, how much time do you spend teaching mathematics to the students in this class? (minutes)",ATBM01,ATBLM01,TQM-01,TQM-01,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Listen to me explain new mathematics content",ATBM02A,ATBLM02A,TQM-02a,TQM-02a,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Listen to me explain how to solve problems",ATBM02B,ATBLM02B,TQM-02b,TQM-02b,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Memorize rules, procedures, and facts",ATBM02C,ATBLM02C,TQM-02c,TQM-02c,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Practice procedures on their own",ATBM02D,ATBLM02D,TQM-02d,TQM-02d,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Apply what they have learned to new problem situations on their own",ATBM02E,ATBLM02E,TQM-02e,TQM-02e,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Work problems together in the whole class with direct guidance from me",ATBM02F,ATBLM02F,TQM-02f,TQM-02f,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Work in mixed ability groups",ATBM02G,ATBLM02G,TQM-02g,TQM-02g,Teacher,,✓,✓,✓
"In teaching mathematics to this class, how often do you ask students to do the following? Work in same ability groups",ATBM02H,ATBLM02H,TQM-02h,TQM-02h,Teacher,,✓,✓,✓
Are the students in this class permitted to use calculators during mathematics lessons?,ATBM03,,TQM-03,,Teacher,,✓,,
"Do the students in this class have digital devices (including computers, tablets, or smartphones) available to use during mathematics lessons?",ATBM04A,ATBLM04A,TQM-04A,TQM-04A,Teacher,,✓,✓,✓
What access do the students have to digital devices? The class has digital devices for each student to use,ATBM04BA,ATBLM04BA,TQM-04Ba,TQM-04Ba,Teacher,,✓,✓,✓
What access do the students have to digital devices? The class has digital devices that students can share,ATBM04BB,ATBLM04BB,TQM-04Bb,TQM-04Bb,Teacher,,✓,✓,✓
What access do the students have to digital devices? The school has digital devices that the class can use sometimes,ATBM04BC,ATBLM04BC,TQM-04Bc,TQM-04Bc,Teacher,,✓,✓,✓
What access do the students have to digital devices? Students bring their own digital devices,ATBM04BD,ATBLM04BD,TQM-04Bd,TQM-04Bd,Teacher,,✓,✓,✓
How often do you have students use digital devices during mathematics instruction?,ATBM04C,ATBLM04C,TQM-04C,TQM-04C,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these mathematics activities? Practice problems and procedures,ATBM04DA,ATBLM04DA,TQM-04Da,TQM-04Da,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these mathematics activities? Solve extended for contextualized problems,ATBM04DB,ATBLM04DB,TQM-04Db,TQM-04Db,Teacher,,✓,✓,✓
"How often do you ask the students in your class to use digital devices to do these mathematics activities? Create graphs, tables, or other data displays",ATBM04DC,ATBLM04DC,TQM-04Dc,TQM-04Dc,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these mathematics activities? Play games involving mathematics calculations or concepts,ATBM04DD,ATBLM04DD,TQM-04Dd,TQM-04Dd,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these mathematics activities? Read the textbook or watch instructional videos,ATBM04DE,ATBLM04DE,TQM-04De,TQM-04De,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these mathematics activities? Take a test,ATBM04DF,ATBLM04DF,TQM-04Df,TQM-04Df,Teacher,,✓,✓,✓
How much do each of these keep you from incorporating digital devices into mathematics instruction? Not knowing how to use digital devices to improve student learning,ATBM05A,,TQM-05a,,Teacher,,✓,,
How much do each of these keep you from incorporating digital devices into mathematics instruction? Not enough access to digital devices,ATBM05B,,TQM-05b,,Teacher,,✓,,
How much do each of these keep you from incorporating digital devices into mathematics instruction? Keeping students on task when the class is using digital devices,ATBM05C,,TQM-05c,,Teacher,,✓,,
How much do each of these keep you from incorporating digital devices into mathematics instruction? Lack of technical support from the school,ATBM05D,,TQM-05d,,Teacher,,✓,,
When students in this class have been taught each of the following mathematics topics. Number: Recognize place value and order whole numbers,ATBM06AA,ATBLM05AA,TQM-06Aa,TQM-05Aa,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Add and subtract up to 4-digit numbers,ATBM06AB,ATBLM05AB,TQM-06Ab,TQM-05Ab,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Multiply up to 3-digit by 1-digit and 2-digit by 2-digit numbers,ATBM06AC,ATBLM05AC,TQM-06Ac,TQM-05Ac,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Divide up to 3-digit by 1-digit numbers,ATBM06AD,ATBLM05AD,TQM-06Ad,TQM-05Ad,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Number: Solve problems with odd/even numbers, multiples, or factors",ATBM06AE,ATBLM05AE,TQM-06Ae,TQM-05Ae,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Round or make estimations with whole numbers,ATBM06AF,ATBLM05AF,TQM-06Af,TQM-05Af,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Find the missing number or operation in a number sentence,ATBM06AG,ATBLM05AG,TQM-06Ag,TQM-05Ag,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Extend a number pattern or find the missing number in a pattern,ATBM06AH,ATBLM05AH,TQM-06Ah,TQM-05Ah,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Number: Represent, compare, and order fractions",ATBM06AI,ATBLM05AI,TQM-06Ai,TQM-05Ai,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Add and subtract simple fractions,ATBM06AJ,ATBLM05AJ,TQM-06Aj,TQM-05Aj,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Number: Represent, compare, and order decimals up to two decimal places",ATBM06AK,ATBLM05AK,TQM-06Ak,TQM-05Ak,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Number: Add and subtract with decimals up to two decimal places,ATBM06AL,ATBLM05AL,TQM-06Al,TQM-05Al,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Measure, estimate, add, and subtract lengths",ATBM06BA,ATBLM05BA,TQM-06Ba,TQM-05Ba,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Add and subtract mass, volume, or time in appropriate units",ATBM06BB,ATBLM05BB,TQM-06Bb,TQM-05Bb,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Find perimeters of polygons,ATBM06BC,ATBLM05BC,TQM-06Bc,TQM-05Bc,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Find areas of shapes covered with squares or volumes of shapes filled with cubes,ATBM06BD,ATBLM05BD,TQM-06Bd,TQM-05Bd,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Recognize and draw parallel and perpendicular lines,ATBM06BE,ATBLM05BE,TQM-06Be,TQM-05Be,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Compare and draw angles,ATBM06BF,ATBLM05BF,TQM-06Bf,TQM-05Bf,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Describe and draw common two-dimensional shapes (e.g., circles, triangles, quadrilaterals)",ATBM06BG,ATBLM05BG,TQM-06Bg,TQM-05Bg,Teacher,,✓,✓,✓
"When students in this class have been taught each of the following mathematics topics. Measurement and Geometry: Describe and draw common three-dimensional shapes (e.g., cubes, rectangular solids, cones, cylinders, spheres)",ATBM06BH,ATBLM05BH,TQM-06Bh,TQM-05Bh,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Data: Read and interpret data displays,ATBM06CA,ATBLM05CA,TQM-06Ca,TQM-05Ca,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Data: Create or complete data displays,ATBM06CB,ATBLM05CB,TQM-06Cb,TQM-05Cb,Teacher,,✓,✓,✓
When students in this class have been taught each of the following mathematics topics. Data: Draw conclusions from two or more data sources,ATBM06CC,ATBLM05CC,TQM-06Cc,TQM-05Cc,Teacher,,✓,✓,✓
How often do you usually assign mathematics homework to the students in this class?,ATBM07A,ATBLM06A,TQM-07,TQM-06A,Teacher,,✓,✓,✓
How often do you do the following with the mathematics homework assignments for this class? Correct assignments and give feedback to students,ATBM07BA,ATBLM06BA,TQM-07Ba,TQM-06Ba,Teacher,,✓,✓,✓
How often do you do the following with the mathematics homework assignments for this class? Discuss the homework in class,ATBM07BB,ATBLM06BB,TQM-07Bb,TQM-06Bb,Teacher,,✓,✓,✓
How often do you do the following with the mathematics homework assignments for this class? Monitor whether or not the homework was completed,ATBM07BC,ATBLM06BC,TQM-07Bc,TQM-06Bc,Teacher,,✓,✓,✓
How much importance do you place on these strategies to assess students' learning in mathematics? Observing students as they work,ATBM08A,ATBLM07A,TQM-08a,TQM-07a,Teacher,,✓,✓,✓
How much importance do you place on these strategies to assess students' learning in mathematics? Asking students to answer questions during class,ATBM08B,ATBLM07B,TQM-08b,TQM-07b,Teacher,,✓,✓,✓
"How much importance do you place on these strategies to assess students' learning in mathematics? Short, regular written assessments",ATBM08C,ATBLM07C,TQM-08c,TQM-07c,Teacher,,✓,✓,✓
"How much importance do you place on these strategies to assess students' learning in mathematics? Longer tests (e.g., unit tests or exams)",ATBM08D,ATBLM07D,TQM-08d,TQM-07d,Teacher,,✓,✓,✓
How much importance do you place on these strategies to assess students' learning in mathematics? Long-term projects,ATBM08E,ATBLM07E,TQM-08e,TQM-07e,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Mathematics content",ATBM09AA,ATBLM08AA,TQM-09Aa,TQM-08Aa,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Mathematics pedagogy/instruction",ATBM09AB,ATBLM08AB,TQM-09Ab,TQM-08Ab,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Mathematics curriculum",ATBM09AC,ATBLM08AC,TQM-09Ac,TQM-08Ac,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Integrating technology into mathematics instruction",ATBM09AD,ATBLM08AD,TQM-09Ad,TQM-08Ad,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Improving students' critical thinking or problem solving skills",ATBM09AE,ATBLM08AE,TQM-09Ae,TQM-08Ae,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Mathematics assessment",ATBM09AF,ATBLM08AF,TQM-09Af,TQM-08Af,Teacher,,✓,✓,✓
"In the past two years, have you participated in professional development in any of the following? Addressing individual students' needs",ATBM09AG,ATBLM08AG,TQM-09Ag,TQM-08Ag,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Mathematics content,ATBM09BA,ATBLM08BA,TQM-09Ba,TQM-08Ba,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Mathematics pedagogy/instruction,ATBM09BB,ATBLM08BB,TQM-09Bb,TQM-08Bb,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Mathematics curriculum,ATBM09BC,ATBLM08BC,TQM-09Bc,TQM-08Bc,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Integrating technology into mathematics instruction,ATBM09BD,ATBLM08BD,TQM-09Bd,TQM-08Bd,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Improving students’ critical thinking or problem solving skills,ATBM09BE,ATBLM08BE,TQM-09Be,TQM-08Be,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Mathematics assessment,ATBM09BF,ATBLM08BF,TQM-09Bf,TQM-08Bf,Teacher,,✓,✓,✓
Do you need future professional development in any of the following? Addressing individual students’ needs,ATBM09BG,ATBLM08BG,TQM-09Bg,TQM-08Bg,Teacher,,✓,✓,✓
"Is science taught mainly as a separate subject (i.e., not integrated with other subjects) to the students in this class?",ATBS01A,ATBLS01A,TQS-01A,TQS-01A,Teacher,,✓,✓,✓
Please estimate the time that you spend on science topics with students in this class (minutes per week).,ATBS01B,ATBLS01B,TQS-01B,TQS-01B,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Listen to me explain new science content",ATBS02A,ATBLS02A,TQS-02a,TQS-02a,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Observe natural phenomena such as the weather or a plant growing and describe what they see",ATBS02B,ATBLS02B,TQS-02b,TQS-02b,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Watch me demonstrate an experiment or investigation",ATBS02C,ATBLS02C,TQS-02c,TQS-02c,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Read their textbooks or other resource materials",ATBS02D,ATBLS02D,TQS-02d,TQS-02d,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Memorize facts and principles",ATBS02E,ATBLS02E,TQS-02e,TQS-02e,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Do field work outside the class",ATBS02F,ATBLS02F,TQS-02f,TQS-02f,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Work in mixed ability groups",ATBS02G,ATBLS02G,TQS-02g,TQS-02g,Teacher,,✓,✓,✓
"In teaching science to the students in this class, how often do you ask them to do the following? Work in same ability groups",ATBS02H,ATBLS02H,TQS-02h,TQS-02h,Teacher,,✓,✓,✓
How much emphasis do you place on the following when teaching science to students in this class? Encouraging students to ask questions about scientific phenomena,ATBS03A,ATBLS03A,TQS-03a,TQS-03a,Teacher,,✓,✓,✓
How much emphasis do you place on the following when teaching science to students in this class? Having students predict the outcomes of experiments or investigations,ATBS03B,ATBLS03B,TQS-03b,TQS-03b,Teacher,,✓,✓,✓
"How much emphasis do you place on the following when teaching science to students in this class? Having students create representations (e.g. models, graphs) to explain scientific phenomena",ATBS03C,ATBLS03C,TQS-03c,TQS-03c,Teacher,,✓,✓,✓
How much emphasis do you place on the following when teaching science to students in this class? Having students use scientific concepts to explain phenomena,ATBS03D,ATBLS03D,TQS-03d,TQS-03d,Teacher,,✓,✓,✓
How much emphasis do you place on the following when teaching science to students in this class? Having students conduct experiments (hands-on or virtually),ATBS03E,ATBLS03E,TQS-03e,TQS-03e,Teacher,,✓,✓,✓
How often do you do the following when teaching this class? Develop students' positive attitudes toward the natural environment,ATBS04A,ATBLS05A,TQS-04a,TQS-05a,Teacher,,✓,✓,✓
"How often do you do the following when teaching this class? Encourage students to use less resources (e.g., <water, energy>)",ATBS04B,ATBLS05B,TQS-04b,TQS-05b,Teacher,,✓,✓,✓
How often do you do the following when teaching this class? Discuss how student actions in and outside of school can help the natural environment,ATBS04C,ATBLS05C,TQS-04c,TQS-05c,Teacher,,✓,✓,✓
"How often do you do the following when teaching this class? Discuss environmental issues (e.g., <climate change, endangered animals>)",ATBS04D,ATBLS05D,TQS-04d,TQS-05d,Teacher,,✓,✓,✓
"Do you do these things to teach students about environmental issues and sustainability? Take students to visit natural areas (e.g., <a pond or meadow>)",ATBS05A,ATBLS06A,TQS-05a,TQS-06a,Teacher,,✓,✓,✓
"Do you do these things to teach students about environmental issues and sustainability? Have students participate in environmentally responsible activities (e.g., <pick up trash>)",ATBS05B,ATBLS06B,TQS-05b,TQS-06b,Teacher,,✓,✓,✓
"Do you do these things to teach students about environmental issues and sustainability? Have students do research or projects on a particular environmental topic (e.g., <pollution, climate change>)",ATBS05C,ATBLS06C,TQS-05c,TQS-06c,Teacher,,✓,✓,✓
Do you do these things to teach students about environmental issues and sustainability? Provide opportunities for students to participate in outdoor environmental education programs outside of school,ATBS05D,ATBLS06D,TQS-05d,TQS-06d,Teacher,,✓,✓,✓
How much do you agree or disagree that education about environmental sustainability should be a priority for schools?,ATBS06,ATBLS07,TQS-06,TQS-07,Teacher,,✓,✓,✓
"Do the students in this class have digital devices (including computers, tablets, or smartphones) available to use during science lessons?",ATBS07A,ATBLS08A,TQS-07A,TQS-08A,Teacher,,✓,✓,✓
What access do the students have to digital devices? The class has digital devices for each student to use,ATBS07BA,ATBLS08BA,TQS-07Ba,TQS-08Ba,Teacher,,✓,✓,✓
What access do the students have to digital devices? The class has digital devices that students can share,ATBS07BB,ATBLS08BB,TQS-07Bb,TQS-08Bb,Teacher,,✓,✓,✓
What access do the students have to digital devices? The school has digital devices that the class can use sometimes,ATBS07BC,ATBLS08BC,TQS-07Bc,TQS-08Bc,Teacher,,✓,✓,✓
What access do the students have to digital devices? Students bring their own digital devices,ATBS07BD,ATBLS08BD,TQS-07Bd,TQS-08Bd,Teacher,,✓,✓,✓
How often do you have students use digital devices during science instruction?,ATBS07C,ATBLS08C,TQS-07C,TQS-08C,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these science activities? Solve extended for contextualized problems,ATBS07DA,ATBLS08DA,TQS-07Da,TQS-08Da,Teacher,,✓,✓,✓
"How often do you ask the students in your class to use digital devices to do these science activities? Create graphs, tables, or other data displays",ATBS07DB,ATBLS08DB,TQS-07Db,TQS-08Db,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these science activities? Play games involving science concepts,ATBS07DC,ATBLS08DC,TQS-07Dc,TQS-08Dc,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these science activities? Conduct virtual experiments or other simulations,ATBS07DD,ATBLS08DD,TQS-07Dd,TQS-08Dd,Teacher,,✓,✓,✓
How often do you ask the students in your class to use digital devices to do these science activities? Read the textbook or watch instructional videos,ATBS07DE,ATBLS08DE,TQS-07De,TQS-08De,Teacher,,✓,✓,✓
